person_master_id,AccusedMasterID,CaseMasterID,recorded_name,true_name
1638,319,178,V. Purohit,Vihaan Purohit
187,322,179,Arjun Jha,Arjun Jha
1713,324,179,L Bora,Laksh Bora
1416,325,180,Maya Dube,Maya Dube
1715,326,181,Krisna Badal,Krishna Badal
1279,335,187,O. Sachdev,Odika Sachdev
1101,339,191,N. Sekhon,Neel Sekhon
1030,347,194,Irya Taneja,Irya Taneja
1480,348,195,Fitan Raval,Fitan Raval
986,351,197,Chandran Parek,Chandran Parekh
1136,367,208,K Gupta,Karan Gupta
1393,368,208,Girish Solanki,Girish Solanki
47,373,211,Michael warkey,Michael Varkey
299,375,212,Rushil Dasgupta,Rushil Dasgupta
607,376,212,Gauri Khare,Gauri Khare
607,380,215,Gauri kare,Gauri Khare
1794,382,215,S. Parmer,Shaurya Parmer
150,390,222,Zayan Ratti,Zayan Ratti
224,392,223,Azad Mallick,Azad Mallick
711,393,223,G. Sankaran,Gagan Sankaran
1713,396,226,L. Bora,Laksh Bora
1270,398,228,Jairaj Chada,Jairaj Chada
552,399,228,B. Sami,Bhavika Sami
225,407,233,Ekapad Bir,Ekapad Bir
766,408,234,K. Hayre,Kalpit Hayre
991,409,235,Yuvraj Lalla,Yuvraj Lalla
1480,410,236,Fitan Rawal,Fitan Raval
299,412,236,Rushil Dasgupta,Rushil Dasgupta
815,416,237,Shaurya Pillai,Shaurya Pillai
1586,417,238,Yashvi Varkey,Yashvi Varkey
224,420,241,Azad Mallick,Azad Mallick
94,425,242,M Sandhu,Mitesh Sandhu
607,427,244,Gauri Khare,Gauri Khare
1548,429,245,Rayaan Kohli,Rayaan Kohli
474,431,246,A. Chowdhury,Agastya Chowdhury
1508,433,248,Q. Dalal,Qadim Dalal
1671,435,248,Faraj Sathe,Faraj Sathe
1457,436,249,Rehaan Mander,Rehaan Mander
1352,437,249,Gopal Hans,Gopal Hans
497,440,251,Qasim Pall,Qasim Pall
938,447,255,Harish Sehgal,Harish Sehgal
372,448,255,Ayus Ghose,Ayush Ghose
1557,450,256,Anirudh Shukla,Anirudh Shukla
815,451,257,S Pillai,Shaurya Pillai
385,453,258,C De,Christopher De
1610,455,259,Faras Varty,Faras Varty
1586,456,260,Y Varkey,Yashvi Varkey
765,459,262,B Mane,Balveer Mane
766,463,264,Kalpit Hayre,Kalpit Hayre
1484,467,267,Faris Balakrishnan,Faris Balakrishnan
1077,469,267,T Mane,Tripti Mane
770,473,271,Guneet Suresh,Guneet Suresh
734,479,273,K Sane,Kabir Sane
385,482,275,Christopher De,Christopher De
1733,490,279,C. Sangha,Chaitanya Sangha
230,491,279,Vamakshi Majumdar,Vamakshi Majumdar
1701,493,280,Dakshesh Bhatt,Dakshesh Bhatt
224,513,289,A. Mallick,Azad Mallick
1713,514,289,Laks Bora,Laksh Bora
754,516,290,Matthew Rao,Matthew Rao
54,524,296,Chandran More,Chandran More
1742,525,296,T. Vora,Tanay Vora
177,526,296,G Buch,Guneet Buch
951,527,296,S. Issac,Samuel Issac
1270,530,298,J Chada,Jairaj Chada
1446,531,298,A. Pall,Anay Pall
770,533,299,Guneet Suresh,Guneet Suresh
1794,535,300,Shaurya Parmer,Shaurya Parmer
1715,536,300,K Badal,Krishna Badal
1332,537,301,O. Venkataraman,Om Venkataraman
1644,543,305,Wyatt Kumer,Wyatt Kumer
1270,546,308,J. Chada,Jairaj Chada
1655,549,309,V. Pau,Veda Pau
376,551,310,wyanjana Kapur,Vyanjana Kapur
1234,552,311,V. Parsa,Vivaan Parsa
1508,555,312,Qadim Dalal,Qadim Dalal
47,560,315,Michael Varkey,Michael Varkey
508,561,316,W Mitra,William Mitra
1240,562,317,Ishaan Rastogi,Ishaan Rastogi
815,567,320,S. Pillai,Shaurya Pillai
443,568,320,Ekaraj Peri,Ekaraj Peri
815,571,321,saurya Pillay,Shaurya Pillai
230,574,322,wamakshi Majumdar,Vamakshi Majumdar
1508,575,323,Q. Dalal,Qadim Dalal
1076,576,324,A Puri,Ansh Puri
607,579,325,G. Khare,Gauri Khare
1257,588,331,Upkaar Choksi,Upkaar Chokshi
991,590,332,Yuvraj Lalla,Yuvraj Lalla
443,592,332,Ekaraj Peri,Ekaraj Peri
770,593,333,Gunit Sures,Guneet Suresh
186,600,338,R Oommen,Rohan Oommen
938,601,339,H. Sehgal,Harish Sehgal
1332,607,345,Om wenkataraman,Om Venkataraman
1486,617,353,A Chhabra,Aarnav Chhabra
1480,618,353,Fitan Raval,Fitan Raval
1393,619,353,G Solanki,Girish Solanki
1480,622,355,Fitan Raval,Fitan Raval
887,625,356,N Bhasin,Neel Bhasin
1715,627,357,K. Badal,Krishna Badal
474,629,358,Agastya Chowdhury,Agastya Chowdhury
1446,630,358,A. Pall,Anay Pall
444,634,360,Jackson Krishna,Jackson Krishna
1148,636,362,A. Dugar,Ansh Dugar
511,637,362,Ayushman Sule,Ayushman Sule
1421,639,363,S Modi,Siddharth Modi
521,641,364,Gaurangi Varughese,Gaurangi Varughese
385,642,365,C De,Christopher De
783,645,365,G Nagy,Gaurangi Nagy
1257,646,366,Upkaar Choksi,Upkaar Chokshi
1436,647,366,Ubika Oza,Ubika Oza
770,650,368,Guneet Suresh,Guneet Suresh
887,654,370,N. Bhasin,Neel Bhasin
734,656,372,K. Sane,Kabir Sane
150,657,373,Zayan Ratti,Zayan Ratti
1436,658,373,U. Oza,Ubika Oza
1393,659,373,G Solanki,Girish Solanki
1548,661,375,R Kohli,Rayaan Kohli
78,668,379,Isaac Dhaliwal,Isaac Dhaliwal
607,673,382,Gauri Khare,Gauri Khare
1352,675,383,Gopal Hans,Gopal Hans
54,677,384,C More,Chandran More
152,682,386,W Dugal,Wazir Dugal
372,683,387,Ayush Ghose,Ayush Ghose
988,686,388,Yahvi Talwar,Yahvi Talwar
1474,687,388,Fiyaz Natarajan,Fiyaz Natarajan
463,691,390,D. Gola,Dalbir Gola
1281,695,392,Imaran Sanghvi,Imaran Sanghvi
474,698,392,A Chowdhury,Agastya Chowdhury
1497,699,393,Jackson Sarna,Jackson Sarna
47,700,393,M. Varkey,Michael Varkey
376,701,394,Vyanjana Kapur,Vyanjana Kapur
1490,703,395,S. Joshi,Sai Joshi
1490,704,395,Say Josi,Sai Joshi
797,707,398,A Bal,Aditya Bal
1446,716,404,Anay Pall,Anay Pall
734,718,405,K Sane,Kabir Sane
1778,719,405,Laban Bera,Laban Bera
1270,723,408,Jairaj Chada,Jairaj Chada
1077,725,409,Tripti Mane,Tripti Mane
1096,731,411,M. Singh,Manthan Singh
74,732,411,J. Sinha,Jackson Sinha
1393,734,412,Giris Solanki,Girish Solanki
1279,735,412,O. Sachdev,Odika Sachdev
734,736,412,Kabir Sane,Kabir Sane
988,737,413,Y Talwar,Yahvi Talwar
1508,738,414,Qadim Dalal,Qadim Dalal
926,742,416,Isaac Shan,Isaac Shan
1279,743,417,Odika Sachdew,Odika Sachdev
988,746,419,Yahwi Talwar,Yahvi Talwar
1416,747,420,Maya Dube,Maya Dube
1794,750,422,Shaurya Parmer,Shaurya Parmer
1030,751,423,I Taneja,Irya Taneja
463,753,424,D Gola,Dalbir Gola
1332,756,427,Om wenkataraman,Om Venkataraman
299,757,428,R. Dasgupta,Rushil Dasgupta
1270,758,429,J Chada,Jairaj Chada
1480,763,434,Fitan Raval,Fitan Raval
758,765,436,Bahadurjit Merchant,Bahadurjit Merchant
766,772,441,Kalpit Hayre,Kalpit Hayre
1332,774,443,Om Venkataraman,Om Venkataraman
1352,783,450,Gopal Hans,Gopal Hans
1586,786,452,Yashvi Varkey,Yashvi Varkey
1713,787,452,L. Bora,Laksh Bora
224,788,452,Azad Mallick,Azad Mallick
299,794,456,Rusil Dasgupta,Rushil Dasgupta
887,799,460,Nil Bhasin,Neel Bhasin
1671,803,462,Faraj Sathe,Faraj Sathe
770,805,463,Guneet Suresh,Guneet Suresh
1553,808,464,Umang Venkataraman,Umang Venkataraman
186,809,465,Rohan Oommen,Rohan Oommen
66,813,467,N Dar,Nitesh Dar
1483,823,472,Advay Lall,Advay Lall
187,825,474,A Jha,Arjun Jha
142,826,474,C Purohit,Chanakya Purohit
607,827,475,Gauri kare,Gauri Khare
474,828,475,Agastya Chowdhury,Agastya Chowdhury
1480,831,477,Fitan Rawal,Fitan Raval
991,833,479,Y Lalla,Yuvraj Lalla
692,834,479,L. Kanda,Lucky Kanda
474,841,483,Agastya Chowdhury,Agastya Chowdhury
1143,842,483,R Lala,Rayaan Lala
150,843,484,Zayan Ratti,Zayan Ratti
1332,846,485,Om Venkataraman,Om Venkataraman
815,847,485,saurya Pillay,Shaurya Pillai
1497,848,485,Jackson Sarna,Jackson Sarna
1742,850,486,T. Vora,Tanay Vora
1104,852,486,Yauwani Ray,Yauvani Ray
1778,854,488,Laban Bera,Laban Bera
1030,855,489,I. Taneja,Irya Taneja
1019,857,491,V. Saha,Victor Saha
443,860,493,Ekaraj Peri,Ekaraj Peri
54,863,496,Chandran More,Chandran More
1755,868,498,N Kanda,Neel Kanda
443,871,499,E Peri,Ekaraj Peri
1030,872,499,Irya Taneja,Irya Taneja
54,875,501,Chandran More,Chandran More
754,883,505,Matthew Rao,Matthew Rao
1327,885,507,Haris Anand,Harish Anand
1030,888,508,I Taneja,Irya Taneja
1328,889,509,Ayushman Nair,Ayushman Nair
1030,891,511,I Taneja,Irya Taneja
1352,893,513,Gopal Hans,Gopal Hans
472,899,516,G Ben,Gabriel Ben
986,905,521,Chandran Parekh,Chandran Parekh
1548,906,521,Rayaan Kohli,Rayaan Kohli
766,910,524,Kalpit Hayre,Kalpit Hayre
1480,921,531,F. Raval,Fitan Raval
1210,923,532,Lucky Yogi,Lucky Yogi
1293,924,532,R. Shenoy,Raghav Shenoy
1508,926,534,Qadim Dalal,Qadim Dalal
1548,928,535,R. Kohli,Rayaan Kohli
765,929,535,Balveer Mane,Balveer Mane
1486,932,536,Aarnav Chhabra,Aarnav Chhabra
1713,935,537,Laksh Bora,Laksh Bora
618,938,539,E Gera,Ethan Gera
1436,939,540,Ubika Oza,Ubika Oza
463,940,540,D Gola,Dalbir Gola
1270,941,541,J Chada,Jairaj Chada
1480,943,543,Fitan Raval,Fitan Raval
1617,946,544,Chakradev Pingle,Chakradev Pingle
1447,947,545,Luke Menon,Luke Menon
1778,948,546,Laban Bera,Laban Bera
734,950,547,Kabir Sane,Kabir Sane
1279,956,553,O Sachdev,Odika Sachdev
1030,957,554,I. Taneja,Irya Taneja
463,959,556,Dalbir Gola,Dalbir Gola
150,961,558,Z Ratti,Zayan Ratti
304,962,559,Balendra Comar,Balendra Comar
150,966,561,Zayan Ratti,Zayan Ratti
1671,970,563,Faraj Sathe,Faraj Sathe
734,972,564,K Sane,Kabir Sane
1370,973,565,Aarna Singh,Aarna Singh
758,974,566,Bahadurjit Merchant,Bahadurjit Merchant
607,978,569,Gauri Khare,Gauri Khare
54,979,570,C More,Chandran More
299,980,570,R. Dasgupta,Rushil Dasgupta
783,983,572,Gaurangi Nagy,Gaurangi Nagy
1667,989,574,Faqid Triwedi,Faqid Trivedi
155,991,574,J Kapur,Janya Kapur
1457,995,576,Rehaan Mander,Rehaan Mander
1794,996,577,Shaurya Parmer,Shaurya Parmer
497,998,578,Qasim Pall,Qasim Pall
142,1002,581,Chanakya Purohit,Chanakya Purohit
1257,1003,582,Upkaar Chokshi,Upkaar Chokshi
155,1005,583,Janya Kapur,Janya Kapur
142,1008,584,C. Purohit,Chanakya Purohit
942,1010,584,Champak Tripati,Champak Tripathi
1077,1012,585,Tripti Mane,Tripti Mane
940,1016,587,Yuwraj Sayni,Yuvraj Saini
759,1019,588,Aadi Shet,Aadi Sheth
385,1024,590,Christofer De,Christopher De
770,1034,596,Guneet Suresh,Guneet Suresh
1719,1036,596,S. Banik,Shaurya Banik
1667,1038,597,Faqid Trivedi,Faqid Trivedi
385,1039,598,Christopher De,Christopher De
1586,1048,602,Yashvi Varkey,Yashvi Varkey
47,1052,606,Michael warkey,Michael Varkey
152,1053,607,Wazir Dugal,Wazir Dugal
1586,1057,611,Yashvi Varkey,Yashvi Varkey
463,1061,614,Dalbir Gola,Dalbir Gola
1352,1066,618,Gopal Hans,Gopal Hans
1490,1072,622,Sai Joshi,Sai Joshi
158,1080,628,A Kashyap,Abhiram Kashyap
224,1081,628,Azad Mallick,Azad Mallick
463,1087,630,Dalbir Gola,Dalbir Gola
230,1088,630,Vamakshi Majumdar,Vamakshi Majumdar
1352,1094,635,Gopal Hans,Gopal Hans
1347,1095,636,Gavin Keer,Gavin Keer
224,1098,639,Azad Mallick,Azad Mallick
1497,1104,642,J. Sarna,Jackson Sarna
1718,1106,643,D Minhas,Damyanti Minhas
142,1108,645,Chanakya Purohit,Chanakya Purohit
155,1111,648,Janya Kapur,Janya Kapur
1332,1113,650,Om wenkataraman,Om Venkataraman
478,1114,650,Samaksh Mander,Samaksh Mander
783,1117,653,Gaurangi Nagy,Gaurangi Nagy
1393,1125,659,Giris Solanki,Girish Solanki
1480,1126,659,Fitan Rawal,Fitan Raval
337,1128,661,R. Handa,Rishi Handa
186,1129,662,Rohan Oommen,Rohan Oommen
134,1130,663,T. Saxena,Tristan Saxena
766,1134,664,Kalpit Hayre,Kalpit Hayre
1154,1136,666,Dhriti Kala,Dhriti Kala
931,1139,666,C Ganesh,Charles Ganesh
1416,1148,672,M Dube,Maya Dube
155,1149,673,Janya Kapur,Janya Kapur
443,1152,673,E Peri,Ekaraj Peri
1416,1154,675,Maya Dube,Maya Dube
1436,1156,676,U. Oza,Ubika Oza
1742,1157,677,T Vora,Tanay Vora
1713,1162,680,Laksh Bora,Laksh Bora
173,1163,681,Pranaw Kamdar,Pranav Kamdar
692,1166,683,L Kanda,Lucky Kanda
931,1170,685,Charles Ganesh,Charles Ganesh
1436,1173,688,U Oza,Ubika Oza
463,1174,689,Dalbir Gola,Dalbir Gola
1743,1179,691,O. Bala,Onveer Bala
692,1192,700,L Kanda,Lucky Kanda
931,1194,701,C. Ganesh,Charles Ganesh
1484,1200,704,F. Balakrishnan,Faris Balakrishnan
47,1201,705,M. Varkey,Michael Varkey
1077,1205,708,T. Mane,Tripti Mane
1370,1208,711,Aarna Singh,Aarna Singh
1270,1212,713,Jairaj Chada,Jairaj Chada
1486,1213,713,Aarnav Chhabra,Aarnav Chhabra
224,1214,713,Azad Mallick,Azad Mallick
128,1216,715,Dominic Grower,Dominic Grover
230,1218,717,V. Majumdar,Vamakshi Majumdar
1773,1219,718,E Barad,Ekbal Barad
230,1220,719,V Majumdar,Vamakshi Majumdar
1457,1222,721,Rehaan Mander,Rehaan Mander
1436,1223,721,U Oza,Ubika Oza
692,1225,723,Lucky Kanda,Lucky Kanda
463,1230,726,D Gola,Dalbir Gola
1446,1235,728,A Pall,Anay Pall
1497,1236,729,Jackson Sarna,Jackson Sarna
1030,1237,730,I. Taneja,Irya Taneja
142,1239,730,C Purohit,Chanakya Purohit
1490,1240,730,S Joshi,Sai Joshi
1257,1241,731,Upkaar Chokshi,Upkaar Chokshi
1261,1242,731,Gunit Borah,Guneet Borah
1548,1250,738,Rayaan Kohli,Rayaan Kohli
47,1251,738,M Varkey,Michael Varkey
224,1252,738,Azad Mallick,Azad Mallick
1480,1261,743,Fitan Raval,Fitan Raval
299,1269,750,R Dasgupta,Rushil Dasgupta
1270,1270,751,J. Chada,Jairaj Chada
47,1273,752,M Varkey,Michael Varkey
54,1274,752,C. More,Chandran More
1436,1275,753,Ubika Oza,Ubika Oza
1586,1283,758,Y Varkey,Yashvi Varkey
1715,1284,759,K Badal,Krishna Badal
155,1292,762,J Kapur,Janya Kapur
1352,1301,769,G Hans,Gopal Hans
224,1304,770,Azad Mallick,Azad Mallick
1030,1305,771,I Taneja,Irya Taneja
1463,1307,773,Januja Sur,Januja Sur
1332,1308,774,O Venkataraman,Om Venkataraman
1733,1310,775,Chaytanya Sangha,Chaitanya Sangha
69,1312,776,F. Raj,Faris Raj
1030,1314,777,I. Taneja,Irya Taneja
155,1316,779,Janya Kapur,Janya Kapur
187,1317,780,Arjun Jha,Arjun Jha
152,1318,781,W Dugal,Wazir Dugal
1154,1320,781,D. Kala,Dhriti Kala
474,1321,782,A Chowdhury,Agastya Chowdhury
770,1323,783,G. Suresh,Guneet Suresh
177,1324,784,Gunit Buch,Guneet Buch
1332,1326,785,Om wenkataraman,Om Venkataraman
754,1328,787,Matthew Rao,Matthew Rao
1794,1331,789,Shaurya Parmer,Shaurya Parmer
142,1336,793,Chanakya Purohit,Chanakya Purohit
155,1337,793,Janya Kapur,Janya Kapur
1778,1344,797,L Bera,Laban Bera
1352,1349,800,Gopal Hans,Gopal Hans
1671,1355,802,Faraj Sathe,Faraj Sathe
1270,1359,805,J Chada,Jairaj Chada
1337,1361,805,G Bali,George Bali
1370,1366,809,Aarna Singh,Aarna Singh
299,1367,810,Rushil Dasgupta,Rushil Dasgupta
754,1371,812,M Rao,Matthew Rao
187,1372,812,Arjun Jha,Arjun Jha
1715,1376,816,Krishna Badal,Krishna Badal
1436,1380,819,U. Oza,Ubika Oza
988,1382,820,Yahvi Talwar,Yahvi Talwar
887,1383,821,Nil Bhasin,Neel Bhasin
765,1385,822,B Mane,Balveer Mane
1293,1387,824,Raghav Shenoy,Raghav Shenoy
150,1390,825,Z. Ratti,Zayan Ratti
186,1393,826,Rohan ummen,Rohan Oommen
256,1396,828,G Grover,Gaurangi Grover
1778,1399,830,Laban Bera,Laban Bera
150,1401,831,Zayan Ratti,Zayan Ratti
770,1406,834,Gunit Sures,Guneet Suresh
1778,1408,836,L. Bera,Laban Bera
1508,1409,837,Qadim Dalal,Qadim Dalal
1030,1412,838,Irya Taneja,Irya Taneja
887,1413,839,Neel Bhasin,Neel Bhasin
754,1419,841,Matthew Rao,Matthew Rao
1733,1430,846,Chaytanya Sangha,Chaitanya Sangha
765,1434,849,B Mane,Balveer Mane
931,1435,850,Charles Ganes,Charles Ganesh
1332,1438,851,O. Venkataraman,Om Venkataraman
1332,1439,852,O. Venkataraman,Om Venkataraman
1019,1441,853,wictor Saha,Victor Saha
1337,1444,854,George Bali,George Bali
1497,1445,855,J Sarna,Jackson Sarna
1486,1450,858,Aarnav Chhabra,Aarnav Chhabra
1030,1452,859,I Taneja,Irya Taneja
754,1456,861,Matthew Rao,Matthew Rao
1065,1463,864,Balendra Sabharwal,Balendra Sabharwal
1586,1465,864,Yashvi Varkey,Yashvi Varkey
177,1466,865,Guneet Buch,Guneet Buch
1393,1469,866,Girish Solanki,Girish Solanki
1486,1472,867,A Chhabra,Aarnav Chhabra
1030,1475,868,I Taneja,Irya Taneja
770,1477,870,Guneet Suresh,Guneet Suresh
1671,1483,873,Faraj Sathe,Faraj Sathe
230,1484,874,Vamakshi Majumdar,Vamakshi Majumdar
1715,1485,875,Krisna Badal,Krishna Badal
766,1487,875,K. Hayre,Kalpit Hayre
1715,1494,878,K Badal,Krishna Badal
1492,1497,880,Samuel Sachdewa,Samuel Sachdeva
155,1499,881,Janya Kapur,Janya Kapur
457,1500,882,Dakshesh Bava,Dakshesh Bava
758,1504,885,Bahadurjit Merchant,Bahadurjit Merchant
1414,1505,885,Tristan sroff,Tristan Shroff
1789,1512,891,G. Tak,Gopal Tak
991,1515,892,Yuvraj Lalla,Yuvraj Lalla
770,1519,895,Guneet Suresh,Guneet Suresh
1715,1521,895,Krisna Badal,Krishna Badal
1715,1522,895,K. Badal,Krishna Badal
309,1525,898,Upkaar Rajagopal,Upkaar Rajagopal
1713,1528,900,Laks Bora,Laksh Bora
607,1529,900,Gauri Khare,Gauri Khare
1257,1539,905,U. Chokshi,Upkaar Chokshi
1713,1541,906,Laksh Bora,Laksh Bora
1548,1542,907,R. Kohli,Rayaan Kohli
134,1547,911,Tristan Saxena,Tristan Saxena
134,1548,912,T. Saxena,Tristan Saxena
1688,1550,912,R. Oommen,Ranbir Oommen
155,1553,914,Janya Kapur,Janya Kapur
1794,1557,917,S Parmer,Shaurya Parmer
817,1559,918,Jacob Deshpande,Jacob Deshpande
988,1560,918,Yahwi Talwar,Yahvi Talwar
692,1564,921,L. Kanda,Lucky Kanda
224,1567,922,Azad Mallick,Azad Mallick
186,1571,923,R Oommen,Rohan Oommen
1030,1572,923,I Taneja,Irya Taneja
1030,1574,924,I. Taneja,Irya Taneja
1393,1577,927,G Solanki,Girish Solanki
991,1579,928,Y. Lalla,Yuvraj Lalla
463,1582,930,D Gola,Dalbir Gola
1257,1583,930,Upkaar Choksi,Upkaar Chokshi
177,1586,933,Guneet Buch,Guneet Buch
1480,1592,937,F. Raval,Fitan Raval
1490,1593,937,S Joshi,Sai Joshi
1257,1596,939,U. Chokshi,Upkaar Chokshi
1281,1599,941,I. Sanghvi,Imaran Sanghvi
1548,1601,941,Rayaan Kohli,Rayaan Kohli
54,1602,942,Chandran More,Chandran More
692,1604,943,Lucky Kanda,Lucky Kanda
1257,1608,945,Upkaar Choksi,Upkaar Chokshi
1370,1610,946,Aarna Singh,Aarna Singh
372,1613,947,A Ghose,Ayush Ghose
1154,1614,948,Dhriti Kala,Dhriti Kala
54,1616,948,C More,Chandran More
164,1617,949,Samaksh Sahni,Samaksh Sahni
607,1618,949,Gauri kare,Gauri Khare
224,1619,949,A. Mallick,Azad Mallick
155,1620,950,Janya Kapur,Janya Kapur
463,1621,950,D. Gola,Dalbir Gola
1797,1622,951,Zayan Pillay,Zayan Pillai
522,1624,951,K Trivedi,Kabir Trivedi
812,1626,952,Nicholas Raju,Nicholas Raju
134,1629,954,Tristan Saxena,Tristan Saxena
1393,1630,955,Girish Solanki,Girish Solanki
986,1631,956,C. Parekh,Chandran Parekh
497,1640,962,Qasim Pall,Qasim Pall
991,1642,964,Yuvraj Lalla,Yuvraj Lalla
1293,1643,965,Raghav Shenoy,Raghav Shenoy
1446,1644,965,Anay Pall,Anay Pall
474,1646,965,A. Chowdhury,Agastya Chowdhury
1030,1647,966,Irya Taneja,Irya Taneja
66,1648,967,Nitesh Dar,Nitesh Dar
224,1649,968,Azad Mallick,Azad Mallick
929,1653,970,Harsh Jaggi,Harsh Jaggi
765,1654,970,B Mane,Balveer Mane
631,1655,970,A Dugar,Andrew Dugar
1446,1660,973,Anay Pall,Anay Pall
47,1664,975,Michael Varkey,Michael Varkey
758,1666,977,B. Merchant,Bahadurjit Merchant
1097,1667,977,R. Balan,Rachit Balan
457,1668,977,D Bava,Dakshesh Bava
1416,1670,979,Maya Dube,Maya Dube
770,1675,982,Gunit Sures,Guneet Suresh
177,1676,983,Gunit Buch,Guneet Buch
463,1677,984,Dalbir Gola,Dalbir Gola
1480,1680,986,F Raval,Fitan Raval
433,1681,987,Pranit Balan,Pranit Balan
361,1686,992,Leka Johal,Lekha Johal
1490,1691,995,Say Josi,Sai Joshi
754,1694,996,Matthew Rao,Matthew Rao
766,1695,997,K. Hayre,Kalpit Hayre
66,1701,999,Nitesh Dar,Nitesh Dar
991,1704,1000,Yuvraj Lalla,Yuvraj Lalla
497,1709,1004,Qasim Pall,Qasim Pall
463,1710,1004,Dalbir Gola,Dalbir Gola
1332,1713,1005,Om Venkataraman,Om Venkataraman
1019,1717,1007,Victor Saha,Victor Saha
1332,1719,1007,O Venkataraman,Om Venkataraman
