AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,ResolvedPersonID
136,80,Odika Sachdew,28,F,136
137,81,Elijah Kala,50,M,137
138,81,Kabir Sane,41,M,138
139,81,Wazir Dugal,56,M,21191
140,82,Daksh Rana,35,M,140
141,83,G. Hans,31,M,39764
142,84,Amaira Bhasin,27,T,142
143,84,Hritik Ghose,20,M,143
144,84,Madhav Krishnamurthy,57,M,28019
145,84,Praneel Bhatia,45,M,19090
146,85,Atharv Salvi,50,M,146
147,85,Guneet Suresh,46,M,24831
148,85,Max Wable,65,M,148
149,85,Yatin Kata,46,M,149
150,86,Lucky Kanda,44,M,26399
151,86,Krishna Badal,52,M,107
152,87,Frado Lal,30,M,152
153,88,Benjamin Bal,58,M,153
154,88,Alexander Mutti,16,M,3653
155,89,Christopher De,21,M,66
156,89,Arjun Nadkarni,64,M,156
157,89,Warjas Sagar,28,M,157
158,90,Qadim Garde,57,M,158
159,91,U Oza,47,F,159
160,92,Yahwi Talwar,52,F,160
161,93,Yagnesh Sehgal,65,M,161
162,94,Champak Sodhi,17,M,162
163,94,Patrick Manne,35,M,163
164,94,Nathaniel Barad,36,M,22903
165,95,Luke Hans,48,M,165
166,95,Manbir Sodhi,45,M,166
167,95,K. Badal,52,M,107
168,96,Umang Nair,62,M,168
169,97,Om Parmer,20,M,169
170,98,Aayush Mukhopadhyay,58,M,9573
171,99,Daksh Chaudhry,37,M,171
172,100,Nites Dar,34,M,172
173,100,Y. Lalla,44,M,173
174,100,R Mishra,22,M,35987
175,100,Banjeet Hayer,49,M,16424
176,101,R Tiwari,49,M,176
177,102,Vamakshi Majumdar,29,F,177
178,103,G Buch,38,M,5513
179,103,Ekapad Kulkarni,30,M,179
180,103,Vedant Ahluwalia,18,M,180
181,104,Yash Tak,19,M,181
182,105,Kabir Purohit,45,M,18200
183,106,D Kala,34,F,183
184,106,Qabil Karnik,40,M,184
185,106,Tanay Parsa,40,M,185
186,107,Quincy Sandal,31,M,186
187,107,Tanmayi Shukla,56,F,187
188,108,Jeremiah Bhandari,43,M,188
189,109,Jatin Chopra,30,M,189
190,110,Yuvraj Shroff,46,M,190
191,111,Advik Sarma,34,M,191
192,111,Jackson Sampat,40,M,16866
193,111,Janya Kapur,33,F,121
194,111,A Acharya,47,M,3740
195,112,Kiaan Hora,47,M,195
196,112,Finn Yogi,63,M,196
197,113,U Oza,47,F,159
198,114,Faqid Sant,54,M,198
199,115,Ekalinga Behl,44,M,199
200,115,Pratyush Arya,24,M,200
201,116,Patrick Jha,38,M,201
202,116,L Kanda,40,M,26399
203,117,Rishi Misra,22,M,16975
204,118,Watika Rastogi,45,F,204
205,118,Samuel Sahni,38,M,205
206,119,Reyansh Raman,45,M,206
207,119,Ekiya Prabhakar,42,F,207
208,120,Gaurav Kata,49,M,208
209,120,C Sangha,23,M,38563
210,121,F Sathe,42,M,210
211,122,Lucky Nayak,45,M,7292
212,123,F. Trivedi,20,M,41881
213,124,Nitesh Seth,24,M,213
214,125,Maanav Vyas,26,M,214
215,125,Dalbir Barad,19,M,32186
216,126,Pallavi Kapur,42,T,216
217,127,M. Varkey,42,M,217
218,128,Dakshesh Bava,24,M,61
219,128,Faris Prasad,57,M,10380
220,128,Gaurangi Nagy,54,F,220
221,128,N Dar,34,M,172
222,129,Jairaj Sama,23,M,222
223,130,Lajita Dyal,57,F,223
224,130,Arjun Jha,57,M,124
225,131,Samuel Modi,20,M,225
226,131,Om Venkataraman,24,M,226
227,131,Jason Sawhney,20,M,227
228,132,Qushi Shroff,18,F,228
229,132,Vedhika Jhaveri,43,F,229
230,132,Vamakshi Chauhan,49,F,230
231,132,B Muni,21,F,231
232,133,Ekavir Borde,54,M,232
233,134,Daniel Lad,17,M,233
234,134,M. Dube,39,F,234
235,135,Harish Sehgal,18,M,3144
236,135,Warda Tripathi,20,F,236
237,136,Ikbal Kota,64,M,237
238,136,Ikbal Mukhopadhyay,38,M,238
239,136,Finn Shan,19,M,239
240,137,Andrew Vohra,38,M,240
241,138,Gaurangi Nagy,54,F,220
242,139,Yagnesh Bali,50,M,242
243,140,Saksham Bhatia,63,M,243
244,140,M. Rao,46,M,20
245,140,Kiaan Prabhakar,54,M,245
246,140,Yuwraj Lalla,44,M,173
247,141,Zashil Narain,20,M,247
248,142,C. Parekh,23,M,351
249,143,Chatresh De,31,M,249
250,143,Gauri kare,56,F,250
251,144,Rohan Swamy,56,M,251
252,145,Bimala Korpal,26,F,252
253,145,Tanish Anne,60,M,253
254,145,Girish Solanki,54,M,10789
255,145,Faraj Sathe,43,M,210
256,146,Krishna Dugal,45,M,256
257,146,Adya Goel,47,F,257
258,147,A. Ghose,26,M,258
259,148,Lakshit Chawla,45,M,259
260,149,Darsh Iyer,27,M,35374
261,150,Maya Talwar,47,F,261
262,150,Tanay Mand,60,M,532
263,151,Ishaan Sibal,52,M,42542
264,152,Maanav Srinivasan,45,M,264
265,152,Wahab Palan,60,M,265
266,152,Kiaan Brar,42,M,266
267,153,Rudra Kalita,20,M,267
268,153,Viraj Nagi,35,M,268
269,153,Ethan Savant,36,M,269
270,154,Isaiah Krishna,30,M,270
271,154,Ekaraj Peri,19,M,7566
272,154,Tarak Sengupta,42,M,272
273,155,F Sathe,43,M,210
274,156,R Mander,46,M,274
275,156,Falan Dixit,63,M,275
276,156,Neel Bhasin,37,M,12
277,157,Zayan Shankar,26,M,277
278,158,Ansh Malhotra,50,M,278
279,158,Tanay Vora,28,M,41005
280,159,Shaurya Pillai,46,M,30565
281,159,Mohammed Deol,65,M,281
282,160,Gauri Khare,58,F,282
283,161,Lakshit Dasgupta,34,M,283
284,162,Rehaan Dora,54,M,284
285,162,Faqid Anne,22,M,285
286,162,Manthan Loyal,46,M,286
287,163,Jonathan Pandya,64,M,287
288,163,Zayan Bhandari,34,M,288
289,164,Azad Mallick,26,M,289
290,165,Ekapad Borah,60,M,290
291,166,U Oza,49,F,159
292,166,Qarin Doctor,38,M,292
293,166,Gautam Choudhury,43,M,293
294,167,Faraj Chokshi,49,M,294
295,168,O Venkataraman,25,M,226
296,168,Ekaraj Edwin,29,M,296
297,168,Darsh Ratti,17,M,297
298,168,R. Oommen,29,M,298
299,169,Karan Balakrishnan,49,M,41877
300,169,Gabriel Pandey,46,M,300
301,169,Mohammed Andra,25,M,301
302,169,Manbir Issac,57,M,302
303,170,Amol Sandal,28,M,303
304,170,Jacob Rastogi,23,M,304
305,171,Falguni Bera,25,F,305
306,172,Vivaan Khosla,62,M,306
307,172,Raghav Shenoy,27,M,307
308,172,Yuvraj Ramachandran,45,M,308
309,173,Saksham Ram,50,M,309
310,173,Christopher De,21,M,66
311,174,Parth Dey,50,M,311
312,174,Wriddhish Vohra,51,M,312
313,175,Om wenkataraman,23,M,313
314,175,Fitan Ratti,60,M,314
315,175,Balvan Aurora,35,M,315
316,176,Parth Sachar,56,M,23676
317,177,Ojas Edwin,40,M,317
318,178,T Sha,21,M,14863
319,178,V. Purohit,38,M,319
320,178,Oscar Hora,28,M,320
321,179,David Kanda,29,M,321
322,179,Arjun Jha,58,M,124
323,179,Christopher Saha,19,M,323
324,179,L Bora,20,M,2893
325,180,Maya Dube,38,F,234
326,181,Krisna Badal,52,M,107
327,182,Aarush Doctor,23,M,327
328,183,Jagat Dass,62,M,328
329,184,Nachiket Dutta,26,M,329
330,185,Falan Jhaveri,46,M,330
331,185,Gaurav Kar,19,M,331
332,185,Wyatt Pau,46,M,332
333,185,Oliver Anand,51,M,333
334,186,Rachit Mukhopadhyay,57,M,334
335,187,O. Sachdev,30,F,43
336,188,Yagnesh Yogi,26,M,336
337,189,Robert Gade,52,M,337
338,190,Nathan Raju,49,M,338
339,191,N. Sekhon,48,M,339
340,192,Ikbal Pal,30,M,340
341,193,Vasatika Lad,42,F,341
342,193,Tejas Saxena,59,M,32413
343,193,Bachittar Nazareth,30,M,343
344,193,Hritik Sheth,52,M,344
345,194,Qasim Dar,32,M,34126
346,194,Aarav Sarin,61,M,346
347,194,Irya Taneja,56,F,347
348,195,Fitan Raval,22,M,348
349,195,Ranveer Datta,49,M,349
350,196,Daksh Devi,50,M,350
351,197,Chandran Parek,23,M,351
352,198,Raghav Sani,20,M,352
353,198,Ranveer Subramanian,51,M,353
354,199,Thomas Suresh,39,M,354
355,199,Kevin Samra,24,M,355
356,200,Om Sarma,41,M,356
357,201,Hitesh Gopal,42,M,357
358,202,Chandran Parmer,27,M,377
359,203,Veda Nazareth,45,F,359
360,204,Isaiah Rattan,37,M,7280
361,204,Aryan Talwar,22,M,14461
362,204,Max Batta,28,M,362
363,205,Zehaan Buch,38,M,363
364,206,Kiaan Maharaj,19,M,17133
365,207,Aadi Dani,40,M,365
366,208,Zashil Puri,48,M,28101
367,208,K Gupta,42,M,6973
368,208,Girish Solanki,54,M,10789
369,209,David Chokshi,50,M,369
370,209,Aarav Sharma,47,M,370
371,210,Lavanya Nigam,44,F,371
372,211,Vihaan Chander,25,M,372
373,211,Michael warkey,43,M,373
374,211,Chatresh Bhakta,44,M,374
375,212,Rushil Dasgupta,33,M,375
376,212,Gauri Khare,56,F,282
377,212,Kiaan Parmer,28,M,377
378,213,Gopal Gara,51,M,378
379,214,Ikbal Pall,47,M,379
380,215,Gauri kare,54,F,250
381,215,Jhalak Mand,44,F,381
382,215,S. Parmer,56,M,382
383,216,Rayaan Balan,20,M,383
384,217,Yash Khalsa,20,M,384
385,218,Aarnav Nayak,17,M,385
386,219,Lakshit Wadhwa,25,M,41455
387,219,Charles Mody,19,M,387
388,220,Advay Krish,16,M,388
389,221,Harshil Tak,28,M,389
390,222,Zayan Ratti,56,M,25781
391,222,Hritik Jayaraman,18,M,391
392,223,Azad Mallick,26,M,289
393,223,G. Sankaran,18,M,14359
394,224,Zayyan Mohan,36,M,394
395,225,Jack Hegde,50,M,395
396,226,L. Bora,20,M,2893
397,227,Zayan Chaudhary,31,M,9999
398,228,Jairaj Chada,29,M,24481
399,228,B. Sami,44,F,399
400,228,Qadim Varghese,48,M,400
401,229,Samarth Keer,39,M,35658
402,230,Abeer Ghosh,35,M,16463
403,231,Nathaniel Krish,57,M,403
404,232,Faqid Pingle,17,M,404
405,232,Max Rout,35,M,405
406,233,Nirja Acharya,48,F,406
407,233,Ekapad Bir,49,M,407
408,234,K. Hayre,17,M,34728
409,235,Yuvraj Lalla,43,M,173
410,236,Fitan Rawal,22,M,410
411,236,Pratyush Saha,19,M,411
412,236,Rushil Dasgupta,33,M,375
413,236,Ijaya Lad,61,F,413
414,237,Tejas Krishna,44,M,414
415,237,George Boase,51,M,415
416,237,Shaurya Pillai,46,M,30565
417,238,Yashvi Varkey,55,F,417
418,239,Vivaan Behl,50,M,418
419,240,Nakul Tata,59,M,419
420,241,Azad Mallick,26,M,289
421,241,Kevin Sachdev,58,M,421
422,241,Fiyaz Sunder,58,M,422
423,241,Shaurya Subramanian,57,M,423
424,242,Akshay Venkataraman,56,M,424
425,242,M Sandhu,49,M,425
426,243,Balveer Golla,53,M,11028
427,244,Gauri Khare,56,F,282
428,244,Guneet Bali,32,M,428
429,245,Rayaan Kohli,41,M,14363
430,245,George Kalla,42,M,430
431,246,A. Chowdhury,28,M,431
432,247,Andrew Pau,38,M,432
433,248,Q. Dalal,17,M,56253
434,248,Balveer Mand,41,M,434
435,248,Faraj Sathe,43,M,210
436,249,Rehaan Mander,48,M,274
437,249,Gopal Hans,31,M,39764
438,250,Jairaj Lala,63,M,11022
439,250,Girindra Talwar,43,M,439
440,251,Qasim Pall,26,M,86
441,251,Hritik Sekhon,61,M,441
442,251,Manbir Nagi,58,M,442
443,252,Vihaan Sehgal,18,M,31562
444,253,Bakhshi Narasimhan,21,M,444
445,254,Chatura Luthra,62,M,445
446,255,Hredhaan Puri,52,M,446
447,255,Harish Sehgal,18,M,3144
448,255,Ayus Ghose,24,M,258
449,255,Wyatt Ben,24,M,449
450,256,Anirudh Shukla,19,M,450
451,257,S Pillai,46,M,30565
452,257,Hritik Din,63,M,452
453,258,C De,21,M,66
454,258,Zayyan Shukla,43,M,454
455,259,Faras Varty,58,M,455
456,260,Y Varkey,55,F,417
457,260,Ethan Garg,33,M,457
458,261,Faqid Rana,46,M,458
459,262,B Mane,58,M,459
460,263,Rehaan Kalita,58,M,460
461,263,Azaan Patil,50,M,461
462,264,Ekbal Ratta,38,M,462
463,264,Kalpit Hayre,19,M,34728
464,264,Guneet Chaudhuri,64,M,464
465,265,Anay Majumdar,26,M,465
466,266,Veer Bhatt,23,M,466
467,267,Faris Balakrishnan,56,M,467
468,267,Dakshesh Prabhakar,65,M,468
469,267,T Mane,19,F,23510
470,268,Kevin Loke,38,M,17031
471,269,Yatin Dave,46,M,33680
472,270,Advaith Parmar,24,M,472
473,271,Guneet Suresh,46,M,24831
474,271,Xavier Agarwal,38,M,10799
475,272,Kevin Sant,32,M,14787
476,273,Frederick Narayanan,33,M,476
477,273,Ansh Biswas,40,M,477
478,273,Ryan Chana,22,M,478
479,273,K Sane,41,M,138
480,274,Pushti Mody,39,F,480
481,274,Alexander Goyal,60,M,481
482,275,Christopher De,21,M,66
483,275,Tanish Dhar,33,M,32844
484,276,Arin Banik,38,M,484
485,276,Pranit Kuruvilla,61,M,485
486,277,Om Radhakrishnan,61,M,486
487,277,Ikbal Borra,47,M,487
488,278,Sai Naik,16,M,488
489,279,Dev Sen,50,M,489
490,279,C. Sangha,23,M,38563
491,279,Vamakshi Majumdar,29,F,177
492,279,Balhaar Bala,51,M,492
493,280,Dakshesh Bhatt,48,M,3408
494,280,Udarsh Kara,64,M,494
495,281,Vivaan Chawla,54,M,495
496,282,Laban Kara,26,M,24362
497,283,Nihal Rajan,18,M,497
498,283,Fiyaz Sagar,63,M,498
499,283,Nathaniel Randhawa,31,M,6228
500,284,Simon Banerjee,53,M,500
501,285,Gagan Agrawal,50,M,6719
502,285,Neel Bumb,17,M,502
503,286,Falan Chokshi,42,M,63902
504,286,Yatan Virk,40,M,25839
505,286,Max Setty,42,M,505
506,287,Dev Edwin,64,M,506
507,288,Ekbal Sur,57,M,507
508,288,Rishi Amble,31,M,508
509,288,Karan Sem,55,M,509
510,288,Azad Lalla,56,M,45644
511,289,Rishi Korpal,57,M,511
512,289,Aryan Doshi,22,M,512
513,289,A. Mallick,24,M,289
514,289,Laks Bora,20,M,2893
515,290,Raksha Dani,56,F,40413
516,290,Matthew Rao,46,M,20
517,290,Hardik Setty,25,M,517
518,290,Patrick Chopra,42,M,518
519,291,Praneel Hegde,19,M,519
520,292,Jack Bajaj,31,M,520
521,293,Megha Biswas,43,F,521
522,294,Nathan Chakraborty,50,M,51548
523,295,Andrew Deep,34,M,523
524,296,Chandran More,18,M,69
525,296,T. Vora,29,M,41005
526,296,G Buch,38,M,5513
527,296,S. Issac,31,M,527
528,297,Hemal Mander,63,F,528
529,297,Chandresh Vohra,24,M,529
530,298,J Chada,28,M,24481
531,298,A. Pall,27,M,36791
532,298,Jairaj Mand,58,M,532
533,299,Guneet Suresh,46,M,24831
534,300,Ranbir Vohra,29,M,534
535,300,Shaurya Parmer,57,M,382
536,300,K Badal,52,M,107
537,301,O. Venkataraman,23,M,226
538,302,Orinder Patla,16,M,32312
539,303,Ekansh Dubey,62,M,539
540,303,Om Venkatesh,50,M,540
541,303,Nandini Dalal,34,F,541
542,304,Daksh Golla,17,M,542
543,305,Wyatt Kumer,21,M,543
544,306,Xavier Choudhury,38,M,9517
545,307,Wridesh Mani,32,M,545
546,308,J. Chada,29,M,24481
547,308,Ayaan Roy,61,M,547
548,308,Bahadurjit Tella,42,M,548
549,309,V. Pau,58,F,549
550,310,Harrison Prashad,24,M,550
551,310,wyanjana Kapur,47,F,551
552,311,V. Parsa,30,M,552
553,311,Chanakya Agrawal,32,M,553
554,312,Lohit Murty,37,M,554
555,312,Qadim Dalal,17,M,56253
556,312,Gopal Rajagopal,38,M,556
557,313,Lohit Bhargava,27,M,557
558,313,Abdul Khosla,31,M,558
559,314,Sathvik Oommen,51,M,50263
560,315,Michael Varkey,42,M,217
561,316,W Mitra,45,M,6421
562,317,Ishaan Rastogi,18,M,562
563,317,Nitesh Bhardwaj,20,M,563
564,318,Anirudh Mangal,46,M,564
565,318,Quincy Sami,57,M,565
566,319,Liam Narain,40,M,566
567,320,S. Pillai,46,M,30565
568,320,Ekaraj Peri,18,M,7566
569,320,Warjas Cheema,28,M,569
570,321,Vamakshi Choudhry,40,T,570
571,321,saurya Pillay,46,M,30565
572,321,Nitesh Merchant,29,M,572
573,321,Madhav Venkataraman,19,M,573
574,322,wamakshi Majumdar,29,F,177
575,323,Q. Dalal,17,M,56253
576,324,A Puri,43,M,28101
577,325,Hemang Padmanabhan,64,M,577
578,325,Sanaya Dixit,57,F,578
579,325,G. Khare,56,F,282
580,326,Dev Pall,44,M,5383
581,326,Bakhshi Sastry,52,M,581
582,327,Jacob Sahni,49,M,582
583,328,Madhavi Sachdeva,50,F,583
584,329,Gavin Patil,26,M,584
585,329,Udarsh Garde,34,M,585
586,329,Kalpit Majumdar,59,M,586
587,330,Nihal Tara,49,M,587
588,331,Upkaar Choksi,50,M,588
589,332,Yatin Das,26,M,589
590,332,Yuvraj Lalla,44,M,173
591,332,Jyoti Bawa,25,F,591
592,332,Ekaraj Peri,18,M,7566
593,333,Gunit Sures,46,M,24831
594,334,Wriddhish Dhillon,48,M,594
595,334,Anjali Arora,54,F,595
596,334,Qasim Bahri,38,M,596
597,335,Avi Deshmukh,39,M,597
598,336,Manthan Nath,60,M,598
599,337,Chandresh Borra,23,M,41116
600,338,R Oommen,29,M,298
601,339,H. Sehgal,18,M,3144
602,340,Azad Chhabra,32,M,602
603,341,Chandran Pathak,38,M,603
604,342,Onkar Magar,19,M,604
605,343,Jagdish Talwar,47,M,605
606,344,Faraj Krishnamurthy,43,M,606
607,345,Om wenkataraman,25,M,313
608,346,Noah Talwar,21,M,608
609,346,Hitesh Khatri,25,M,609
610,347,Jackson Agrawal,44,M,610
611,348,Owen Naidu,34,M,611
612,349,Jonathan Naidu,64,M,612
613,350,Quincy Dhingra,54,M,613
614,351,Shravya Borra,54,F,614
615,352,Wridesh Munshi,40,M,615
616,353,Shivansh Sha,19,M,19355
617,353,A Chhabra,44,M,54395
618,353,Fitan Raval,22,M,348
619,353,G Solanki,54,M,10789
620,354,Anay Lata,60,M,37072
621,355,Brijesh Sathe,31,M,621
622,355,Fitan Raval,22,M,348
623,355,Oliver Thakkar,22,M,623
624,355,Neel Pandya,45,M,624
625,356,N Bhasin,38,M,12
626,357,Faras Sharaf,38,M,51669
627,357,K. Badal,52,M,107
628,358,Max Vyas,26,M,628
629,358,Agastya Chowdhury,28,M,431
630,358,A. Pall,27,M,36791
631,358,Wyatt Seshadri,49,M,631
632,359,Orinder Modi,19,M,632
633,360,Bachittar Chander,57,M,633
634,360,Jackson Krishna,36,M,634
635,361,Bachittar Hari,58,M,635
636,362,A. Dugar,23,M,21543
637,362,Ayushman Sule,30,M,637
638,363,Upadhriti Varma,55,F,638
639,363,S Modi,27,M,639
640,363,Aarav Nagarajan,42,M,640
641,364,Gaurangi Varughese,46,F,51631
642,365,C De,20,M,66
643,365,Yug Varty,22,M,643
644,365,Mohammed Kaul,60,M,644
645,365,G Nagy,54,F,220
646,366,Upkaar Choksi,50,M,588
647,366,Ubika Oza,47,F,159
648,366,Onkar Gera,16,M,648
649,367,Timothy Sane,44,M,649
650,368,Guneet Suresh,46,M,24831
651,368,Praneel Khurana,37,M,651
652,369,Karan Pall,47,M,6528
653,369,Manan Banerjee,54,M,653
654,370,N. Bhasin,38,M,12
655,371,Kai Sekhon,31,M,655
656,372,K. Sane,41,M,138
657,373,Zayan Ratti,56,M,25781
658,373,U. Oza,47,F,159
659,373,G Solanki,54,M,10789
660,374,Samarth Sant,39,M,660
661,375,R Kohli,41,M,14363
662,376,Teerth Bassi,56,M,662
663,376,Laban Mutti,47,M,663
664,376,Warjas Varty,31,M,664
665,377,Thomas Karnik,57,M,665
666,378,Akshay Borah,38,M,49468
667,378,Liam Dua,28,M,667
668,379,Isaac Dhaliwal,30,M,668
669,380,Samaksh Krishna,60,M,669
670,381,Zayyan Lalla,31,M,670
671,381,Isaac Krishnan,44,M,671
672,382,Maanav D’Alia,28,M,672
673,382,Gauri Khare,57,F,282
674,383,Maanas Doctor,31,M,674
675,383,Gopal Hans,33,M,39764
676,384,Jagat Kala,45,M,676
677,384,C More,18,M,69
678,385,Anirudh Samra,52,M,678
679,386,Balveer Sharaf,36,M,679
680,386,Siddharth Mukherjee,52,M,680
681,386,Faraj Badami,34,M,681
682,386,W Dugal,56,M,21191
683,387,Ayush Ghose,24,M,258
684,387,Balvan Mammen,38,M,684
685,388,Azad Rao,36,M,685
686,388,Yahvi Talwar,54,F,160
687,388,Fiyaz Natarajan,32,M,687
688,388,Nathaniel Bal,57,M,15171
689,389,Indrajit Srivastava,40,M,689
690,390,Zashil Borah,47,M,690
691,390,D. Gola,49,M,73
692,391,Bakhshi Handa,62,M,692
693,391,Diya Sachar,23,F,693
694,391,Xalak Grover,27,F,694
695,392,Imaran Sanghvi,41,M,695
696,392,Jatin Mittal,23,M,30448
697,392,Ishaan Vohra,31,M,41005
698,392,A Chowdhury,28,M,431
699,393,Jackson Sarna,50,M,699
700,393,M. Varkey,44,M,217
701,394,Vyanjana Kapur,46,F,551
702,395,Luke Bhatti,33,M,702
703,395,S. Joshi,49,M,704
704,395,Say Josi,49,M,704
705,396,Arin Tripathi,42,M,705
706,397,Ishwar Jaggi,36,M,706
707,398,A Bal,35,M,707
708,399,Anthony Wali,42,M,43321
709,399,Nathan Naik,38,M,709
710,400,Zaid Mallick,55,M,33567
711,400,Tanay Batra,50,M,711
712,401,Jagdish Kara,35,M,712
713,402,Banjeet Dasgupta,18,M,713
714,403,Krishna Lall,62,M,714
715,404,Balendra Mahal,45,M,715
716,404,Anay Pall,27,M,36791
717,404,Darsh Krish,35,M,717
718,405,K Sane,41,M,138
719,405,Laban Bera,51,M,83
720,406,Tejas Nigam,20,M,720
721,406,Henry Mangal,33,M,721
722,407,Caleb Mukhopadhyay,48,M,722
723,408,Jairaj Chada,28,M,24481
724,409,Dominic Kunda,37,M,724
725,409,Tripti Mane,19,F,23510
726,409,Zayan Balan,51,M,726
727,409,Bachittar Kanda,64,M,727
728,410,Elijah Shukla,16,M,728
729,410,Darpan Din,43,M,729
730,410,Ayushman Shere,41,M,49873
731,411,M. Singh,26,M,731
732,411,J. Sinha,34,M,15010
733,411,Frederick Bandi,62,M,733
734,412,Giris Solanki,54,M,10789
735,412,O. Sachdev,30,F,43
736,412,Kabir Sane,41,M,138
737,413,Y Talwar,52,F,160
738,414,Qadim Dalal,17,M,56253
