VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
209,178,Ekansh Sankar,73,M,0
210,179,Chakrika Venkataraman,81,F,0
211,180,Hardik Rajagopalan,69,M,0
212,181,Azad Anne,42,M,0
213,182,Advay Arora,67,M,0
214,183,Chandran Bava,79,M,0
215,184,Vanya Nair,54,F,0
216,185,Kabir Yogi,56,M,0
217,186,Ishita Bhandari,33,F,0
218,186,Balendra Palla,79,M,0
219,187,Bachittar Varughese,58,M,0
220,188,Qasim Prasad,68,M,0
221,189,Ekanta Yadav,50,F,1
222,191,Anamika Bir,49,F,0
223,192,Ekapad Ahluwalia,83,M,0
224,194,Lopa Varkey,49,F,0
225,194,Ronith Sha,3,M,0
226,195,Gaurav Bobal,36,M,0
227,196,Baghyawati Maharaj,23,F,0
228,197,Ekanta Wason,33,F,0
229,197,Geetika Patla,40,F,0
230,198,Nilima Kara,17,F,0
231,199,Tanvi Raman,65,F,0
232,200,Yashica Sarna,32,F,0
233,200,Yashoda Vala,23,F,0
234,201,Nitara Pingle,53,F,0
235,202,Odika Bal,36,F,0
236,202,Nitara Bhargava,85,F,0
237,203,Lohit Vasa,51,M,0
238,204,Charan Jaggi,12,M,0
239,205,Aayush Dutt,9,M,0
240,206,Advika Rai,53,F,0
241,208,Advay Comar,48,M,0
242,209,Veda Goyal,80,F,0
243,209,Jhalak Kapoor,41,F,0
244,210,Daksh Suresh,30,M,0
245,211,Maanav Basu,61,M,0
246,211,Warjas Dalal,37,M,0
247,212,Vedant Garg,6,M,0
248,213,Ojas Gokhale,29,M,0
249,214,Nikita Aurora,82,F,0
250,215,Nitara Pandey,78,F,0
251,216,Tanay Agarwal,33,M,0
252,218,Ojasvi Randhawa,47,F,0
253,219,Gautam Gopal,44,M,0
254,220,Charvi Ramachandran,69,F,0
255,221,Hemangini Pandya,61,F,0
256,222,Unni Mallick,8,F,0
257,223,Daksh Mittal,6,M,0
258,224,Noah Mahajan,48,M,0
259,225,Aachal Kar,16,F,0
260,226,Amol Malhotra,7,M,0
261,227,Bhavini Sunder,57,F,0
262,227,Mitesh Kaur,16,M,0
263,227,Udyati Dave,12,F,0
264,228,Urishilla Mander,40,F,0
265,229,Raghav Acharya,81,M,0
266,229,Abhimanyu Keer,41,M,0
267,229,Megha Sani,43,F,0
268,230,Nisha Kuruvilla,19,F,0
269,231,Yamini Krishnamurthy,36,F,0
270,232,Warinder Kalla,15,M,0
271,233,Aryan Garde,8,M,0
272,233,Umang Parmer,25,M,0
273,233,Rajata Sekhon,54,F,0
274,234,Maanav Memon,81,M,0
275,235,Oni Parsa,49,F,0
276,236,Krish Oommen,64,M,0
277,237,Samaksh Shan,70,M,0
278,237,Janani Misra,76,F,0
279,238,Ekantika Balan,29,F,0
280,238,Luke Brar,37,M,0
281,238,Wridesh Chawla,33,M,0
282,239,Fariq Patel,72,M,0
283,239,Mahika Dewan,57,F,0
284,239,Ladli Mammen,3,F,0
285,240,Karan Mandal,59,M,0
286,241,Agastya Panchal,73,M,0
287,243,Sneha Sunder,24,F,0
288,243,Upasna Kurian,80,F,0
289,244,Hredhaan Chokshi,47,M,0
290,245,Adya Sarin,60,F,0
291,246,Pooja Rana,33,F,0
292,247,Anika Dass,6,F,0
293,248,Devika Lal,8,F,0
294,249,Anmol Edwin,55,M,0
295,250,Dhriti Om,76,F,0
296,251,Ishita Bali,67,F,0
297,251,Adya Master,16,F,0
298,251,Ansh Chauhan,70,M,0
299,252,Harsh Shanker,21,M,0
300,254,Dipta Rau,64,F,0
301,255,Vyanjana Khurana,84,F,0
302,258,Zehaan Ray,58,M,0
303,259,Warjas Mallick,28,M,0
304,262,Girindra Swaminathan,58,M,0
305,263,Bina Bahri,61,F,0
306,264,Mohini Konda,23,F,0
307,264,Jai Ahuja,51,M,0
308,266,Agastya Bhakta,17,M,0
309,266,Indrajit Bera,56,M,0
310,267,Manthan Bala,71,M,0
311,268,Noah Bansal,83,M,0
312,269,Baljiwan Ahluwalia,15,M,0
313,270,Ira Majumdar,10,F,0
314,273,Unni Reddy,73,F,0
315,274,Mugdha Vaidya,33,F,0
316,274,Saumya Ganguly,48,F,0
317,276,Ishanvi Ranganathan,78,F,0
318,278,Yashvi Malhotra,9,F,0
319,279,Radhika Gupta,45,F,0
320,280,Charles Kari,6,M,0
321,281,Urvi Sahni,39,F,0
322,282,Nidra Issac,34,F,0
323,283,Triveni Bandi,32,F,0
324,283,Dalbir Patla,6,M,0
325,283,Gagan Wable,38,M,0
326,284,Gopal Kohli,16,M,0
327,285,Banjeet Rana,80,M,0
328,286,Maanav Kuruvilla,78,M,0
329,287,Tamanna Som,80,F,0
330,288,Ansh Mahajan,60,M,0
331,288,Jairaj Bahri,46,M,0
332,289,Girindra Das,35,M,0
333,290,Kashish Kala,70,F,0
334,291,Nathaniel Srinivas,68,M,0
335,292,Janani Dutta,35,F,0
336,293,Yahvi Basu,78,F,0
337,294,Xalak Khosla,46,F,0
338,295,Chaitanya Mohanty,11,M,0
339,296,Gautam Subramaniam,65,M,0
340,297,Jagat Dewan,73,M,0
341,297,Upma Sant,68,F,0
342,297,Ranbir Raju,50,M,0
343,298,Inaya Devi,16,F,0
344,299,Azaan Chandra,79,M,0
345,300,Hitesh Jaggi,36,M,0
346,300,Falan Chacko,29,M,0
347,301,Xalak Nagy,16,F,0
348,302,Ethan Bera,80,M,0
349,303,Vivaan Lala,3,M,0
350,304,Anjali Panchal,74,F,0
351,305,Tristan Prabhu,18,M,0
352,306,Ranveer Tella,41,M,0
353,307,Veer Kaul,44,M,0
354,308,Aditya Mannan,7,M,0
355,309,Daniel Shukla,26,M,0
356,310,Hritik Mall,60,M,0
357,311,Vansha Bhandari,81,F,0
358,314,Bakhshi Dora,48,M,0
359,316,Max Kothari,76,M,0
360,317,Ucchal Ahuja,64,F,0
361,319,Praneel Palan,15,M,0
362,319,Ucchal Naidu,43,F,0
363,319,Dalbir Dalal,40,M,0
364,320,Neel Karan,41,M,0
365,321,Libni Ravi,14,F,0
366,323,Yochana Raman,71,F,0
367,323,Tarak Johal,22,M,0
368,325,Priya Singhal,15,F,0
369,326,Upasna Gaba,31,F,0
370,327,Kamala Buch,2,F,0
371,328,Ayushman Bera,62,M,0
372,328,Naksh Aggarwal,64,M,0
373,328,Falak Jha,77,F,0
374,330,Ansh Goyal,77,M,0
375,331,Omisha Soni,42,F,0
376,332,Maanas Mahajan,77,M,0
377,333,Elijah Wason,28,M,0
378,333,Umang Johal,28,M,0
379,334,Max Dubey,27,M,0
380,335,Yashawini Lad,83,F,0
381,335,Qabil Deol,23,M,0
382,336,Tara Pall,16,F,0
383,336,Robert Mohanty,66,M,0
384,337,Anita Sundaram,24,T,0
385,338,Raagini Deep,54,F,0
386,339,Chatresh Bajaj,10,M,0
387,340,Yochana Loke,30,T,0
388,341,Aadhya Mani,50,F,0
389,341,Samar Talwar,3,M,0
390,341,Laban Pal,32,M,0
391,342,Nathan Morar,67,M,0
392,343,Zarna Narain,16,F,0
393,344,Lila Sarin,56,F,0
394,345,Zilmil Modi,77,F,0
395,345,Manbir Sagar,60,M,0
396,346,Upadhriti Kuruvilla,62,F,0
397,347,Krishna Sodhi,63,M,0
398,348,Ishani Choudhary,60,F,0
399,349,Odika Gola,27,F,0
400,352,Imaran Tailor,59,M,0
401,352,Vasudha Dar,44,F,0
402,353,Theodore Nazareth,23,M,0
403,354,William Mittal,40,M,0
404,354,Krisha Barman,6,F,0
405,356,Triya Bhatnagar,20,F,0
406,357,Rajata Pingle,26,F,0
407,358,Yatan Wagle,78,M,0
408,358,Kashvi Madan,26,F,0
409,359,Meera Loke,40,F,0
410,360,Kala Swaminathan,21,F,0
411,361,Frado Mahajan,68,M,0
412,362,Vivaan Garg,80,M,0
413,363,Pallavi Rai,69,F,0
414,364,Frederick Taneja,68,M,0
415,365,Daniel Kade,21,M,0
416,366,Balendra Kade,67,M,0
417,368,Chaitaly Chacko,54,F,0
418,370,Aradhana Bail,38,F,0
419,371,Shaurya Chand,68,M,0
420,371,Osha Nagarajan,71,F,0
421,372,Zayyan Varghese,25,M,0
422,373,Zansi Doctor,41,F,0
423,373,Amol Krishna,56,M,0
424,373,Lakshmi Sarma,60,F,0
425,374,Yauvani Ghosh,44,F,0
426,375,Jeet Baral,80,M,0
427,377,Osha Khalsa,26,F,0
428,378,Nathan Sant,82,M,0
429,379,Veer Mutti,26,M,0
430,379,Aadi Hegde,46,M,0
431,380,Ekiya Raghavan,53,F,0
432,381,Kamala Sangha,59,F,0
433,381,Radha Prabhu,49,F,0
434,381,Urishilla Mody,59,F,0
435,382,Dev Sabharwal,77,M,0
436,382,Bhavna Narula,45,F,0
437,383,Urmi Kohli,17,F,0
438,384,Aishani Bhargava,6,F,0
439,385,Lekha Datta,3,F,0
440,386,Chandran Doctor,56,M,0
441,387,Priya Kar,30,F,0
442,388,Aishani Master,83,F,0
443,389,Nilima Pai,15,F,0
444,389,Yashodhara Balan,54,F,0
445,389,Eshana Chahal,17,F,0
446,390,Krisha Natarajan,4,F,0
447,391,Nidra Sem,12,F,0
448,392,Wahab Nagarajan,29,M,0
449,393,Deepa Kumer,77,F,0
450,393,Yug Sarin,37,M,0
451,393,Anita Palla,82,F,0
452,394,Zayyan Pandya,71,M,0
453,395,Imaran Murthy,85,M,0
454,397,Zashil Kannan,16,M,0
455,400,Qadim Misra,57,M,0
456,400,Vidhi Amble,52,F,0
457,401,Pahal Dugar,62,F,0
458,401,Ishaan Soman,51,M,0
459,401,Qushi Srinivas,6,F,0
460,402,Laban Mahajan,56,M,0
461,404,Odika Balay,5,F,0
462,405,Tamanna Nori,53,F,0
463,406,Pranit Kala,25,M,1
464,407,Maya Sarin,47,F,0
465,407,Fiyaz Chaudhary,36,M,0
466,407,Lohit Sehgal,33,M,0
467,408,Nirja Lala,46,F,0
468,408,Samar Seth,64,M,0
469,409,Ishanvi Koshy,28,F,0
470,411,Veer Bhatia,16,M,0
471,413,Udyati Devan,57,F,0
472,414,Deepa Devi,11,F,0
473,416,Hitesh Sahota,12,M,0
474,416,Kabir Pandit,18,M,0
475,417,Girindra Singhal,57,M,0
476,417,Bimala Pal,66,T,0
477,418,Mohini Bhasin,61,F,0
478,419,Tanay Palla,14,M,0
479,419,Madhav Arya,28,M,0
480,420,Divya Date,4,F,0
481,421,Frado Garg,35,M,0
482,421,Idika Kota,63,F,0
483,421,Saumya Dora,73,F,0
484,422,Xiti Magar,62,F,0
485,423,Watika Ghose,50,F,0
486,424,Odika Rajan,57,F,0
487,425,Shaurya Salvi,75,M,0
488,426,Dhruv Jaggi,21,M,0
489,426,Zayyan Tata,54,M,0
490,426,Yasti Parmar,58,F,0
491,427,Ganga Butala,53,F,0
492,427,Indrajit Choudhary,52,M,0
493,428,Benjamin Iyer,2,M,0
494,430,Yashawini Dave,16,F,0
495,430,Zarna Saini,21,F,0
496,430,Nicholas Wali,15,M,0
497,431,Zayyan Kamdar,77,M,0
498,431,Kashish Madan,9,F,0
499,432,Charita Narula,47,F,0
500,433,Upma Borde,40,F,0
501,434,Chandran More,50,M,0
502,434,Owen Agate,74,M,0
503,435,Rajata Sachdev,31,F,0
504,436,Onkar Mani,85,M,0
505,436,Tamanna Keer,62,F,0
506,436,Jagdish Dave,22,M,0
507,437,Tanveer Khatri,48,M,0
508,438,Maanas Morar,78,M,0
509,439,Naveen Dhar,33,M,0
510,440,Jalsa Sant,70,F,0
511,440,Ladli Sha,10,F,0
512,441,Simon Raval,76,M,0
513,441,Alka Ahluwalia,56,F,0
514,442,Tanish Nanda,47,M,1
515,443,Janya Sachar,36,F,0
516,443,Watika Sarraf,12,F,0
517,443,Januja Joshi,55,F,0
518,444,Indali Karnik,63,F,0
519,444,Jhalak Thaker,76,F,0
520,445,Kamala Jhaveri,14,F,0
521,446,Meera Rajan,59,F,0
522,447,Dipta Kashyap,65,F,0
523,448,Gunbir Ganesan,19,M,0
524,449,Nilima Sengupta,77,F,0
525,450,Sarthak Jain,65,M,0
526,451,Jairaj Sarna,12,M,0
527,452,Ekapad Lal,81,M,0
528,453,Qadim Soman,8,M,0
529,454,Anthony Ram,75,M,0
530,454,Naveen Bhattacharyya,4,M,0
531,455,Nihal Bora,39,M,0
532,455,Samaksh Batta,48,M,0
533,455,Anthony Arora,45,M,0
534,456,Vivaan Sachdeva,33,M,0
535,457,Ekapad Soman,85,M,0
536,458,Maya Vora,55,F,0
537,460,Gayathri Mani,52,F,0
538,461,Pranit Nanda,16,M,0
539,462,Liam Varughese,41,M,0
540,463,Vansha Singhal,67,F,0
541,463,Ayushman Ben,76,M,0
542,465,Qarin Singh,50,M,0
543,466,Triya Mistry,29,F,0
544,467,Quincy Kant,50,M,0
545,468,Hamsini Bose,41,F,0
546,469,Bahadurjit Salvi,36,M,0
547,470,Jatin Ramachandran,5,M,0
548,471,Bakhshi Iyengar,26,M,0
549,471,Oscar Bawa,20,M,0
550,473,Fiyaz Ben,62,M,0
551,473,Shravya Dayal,77,F,0
552,474,Kritika Doshi,5,F,0
553,475,Noah Sodhi,62,M,0
554,476,Anita Chowdhury,33,F,0
555,477,Qabil Chaudhary,52,M,0
556,478,Rehaan Mangal,69,M,0
557,479,Falguni Chana,72,F,0
558,480,Nachiket Balan,80,M,0
559,481,Ekalinga Oommen,9,M,0
560,482,Raksha Parikh,62,F,0
561,483,Hemangini Kapur,40,F,0
562,484,Tarak Pant,59,M,0
563,485,Reva Bakshi,46,F,0
564,486,Sanaya Panchal,15,F,0
565,487,Ridhi Sharma,78,F,0
566,488,Frado Goel,50,M,0
567,490,Arya Atwal,68,F,0
568,491,Chakrika Gola,55,F,0
569,491,Vaishnavi Verma,5,F,0
570,492,Michael Banerjee,36,M,0
571,493,Tarak Batra,27,M,0
572,493,Falguni Bhagat,53,F,0
573,493,Dayita Ranganathan,81,F,0
574,494,Devika Kapoor,56,F,0
575,495,Zayyan Bhandari,14,M,0
576,496,Ikshita Bal,59,F,0
577,497,Yauvani Joshi,79,F,0
578,497,Daksh Dugar,63,M,0
579,498,Ansh Ratta,12,M,0
580,499,Kabir Ramanathan,76,M,0
581,500,Charan Gandhi,44,M,1
582,501,Neha Chacko,26,F,0
583,502,Sudiksha Parsa,49,F,0
584,503,Dayamai Chandran,67,F,0
585,505,Waida Deol,25,F,0
586,505,Chatresh Sunder,52,M,0
587,507,Kalpit Cherian,76,M,0
588,508,Xiti Varughese,14,F,0
589,508,Mitali Kalita,15,T,0
590,508,Bachittar Sanghvi,44,M,0
591,509,Ryan Banik,64,M,0
592,511,Sai Arya,42,F,0
593,513,Yoshita Chokshi,70,T,0
594,514,David Ray,66,M,0
595,515,Chanchal Swaminathan,37,F,0
596,516,Gunbir Sha,22,M,0
597,516,Rishi Korpal,79,M,0
598,518,Ati Srinivasan,13,F,0
599,520,Hamsini Choudhary,85,F,0
600,521,Lila Prakash,34,F,0
601,522,Tejas Lata,17,M,0
602,523,Jeet Walia,81,M,0
603,524,Samesh Seshadri,67,M,0
604,525,Bhavna Tandon,32,F,0
605,527,Meera Chaudhary,30,F,0
606,528,Brijesh Palla,74,M,0
607,529,Dominic Randhawa,46,M,0
608,530,Garima Ben,7,F,0
609,530,Ekaja Nagar,76,F,0
610,530,Arin Prakash,15,M,0
611,531,Caleb Pandit,47,M,0
612,532,Pushti Garde,13,F,0
613,533,Owen Sethi,54,M,0
614,534,Ladli Andra,84,F,0
615,535,Nicholas Bhatti,9,M,0
616,535,Vedant Bhavsar,39,M,0
617,536,Geetika Shroff,65,F,0
618,537,Nisha Buch,20,F,0
619,538,Gaurangi Arya,37,F,0
620,539,Geetika Boase,44,F,0
621,540,Rohan Dhar,19,M,0
622,542,Ishani Kapoor,73,F,0
623,543,Ikshita Nath,65,F,0
624,543,Vasana Nair,48,F,0
625,543,Pooja Dhawan,34,F,0
626,544,Bina Venkataraman,46,F,0
627,545,Tanay Dixit,20,M,0
628,546,Daksh Swamy,2,M,0
629,547,Chaman Dhar,28,F,0
630,548,Reva Thaman,16,F,0
631,549,Aahana Nori,48,F,0
632,550,Edhitha Goyal,43,F,0
633,550,Chakradev Loke,12,M,0
634,551,Idika Varty,8,F,0
635,552,Isaac Chandra,57,M,0
636,552,Frederick Kunda,67,M,0
637,552,Vasatika Apte,66,F,0
638,553,Vritti Manda,73,F,0
639,554,Anjali Sidhu,66,F,0
640,555,Eesha Gera,17,F,0
641,556,Hemangini Choudhary,70,F,0
642,556,Aishani Kurian,65,F,0
643,557,Ekbal Balan,22,M,0
644,558,Qabil Sawhney,52,M,0
645,559,Joshua Basak,24,M,0
646,559,Zayyan Sabharwal,64,M,0
647,560,Umang Tella,83,M,0
648,561,Bhavini Pau,81,F,0
649,562,Nikita Shah,14,F,0
650,563,Vidhi Joshi,29,F,0
651,565,Ranbir Chad,24,M,0
652,566,Aachal Karnik,15,F,0
653,567,Chanakya Srivastava,55,M,0
654,568,Harshil Bahri,43,M,0
655,569,Gavin Sheth,50,M,1
656,570,Logan Date,64,M,0
657,571,Zinal Shukla,41,F,0
658,572,Ronith Ramachandran,66,M,0
659,573,Azad Chander,85,M,0
660,574,Christopher Madan,14,M,0
661,575,Amol Kota,71,M,0
662,575,Victor Biswas,42,M,0
663,575,Jai Bhatt,79,M,0
664,576,Ekalinga Bansal,62,M,0
665,576,Upkaar Dua,22,M,0
666,577,Sai Kalita,79,M,0
667,579,Upasna Shah,47,F,0
668,580,Mitesh Shukla,24,M,0
669,580,Ayaan Rajan,81,M,0
670,581,Simon Singhal,34,M,0
671,582,Indira Swamy,53,T,0
672,583,Yachana D’Alia,38,F,0
673,584,Warinder Nath,12,M,0
674,585,Siya Mander,70,F,0
675,586,Timothy Panchal,58,M,0
676,586,Sanya Pillai,65,T,0
677,586,Darsh Konda,49,M,0
678,588,Aadhya Bandi,80,F,0
679,589,Onveer Roy,49,M,0
680,590,Praneel Baral,36,M,0
681,591,Orinder Chakraborty,22,M,0
682,592,Nakul Kaul,8,M,0
683,592,Ryan Pandya,65,M,0
684,592,Karan Chaudry,6,M,0
685,593,Arya Lala,64,T,0
686,594,Nisha Jaggi,4,F,0
687,595,Bakhshi Sridhar,19,M,0
688,596,Charan Das,5,M,0
689,597,Kritika Pau,22,F,0
690,598,Lopa Karnik,83,F,0
691,599,Devansh Kalla,56,M,0
692,599,Janani Rana,68,F,0
693,600,Oeshi Modi,76,F,0
694,601,Lohit Mahal,46,M,0
695,604,Jagat Venkatesh,39,M,0
696,605,Vidhi Agate,68,F,0
697,606,Pranit Agate,4,M,0
698,606,Adweta Goyal,49,F,0
699,608,Hredhaan Purohit,75,M,0
700,609,Akshay Mand,49,M,0
701,611,Frederick Kala,66,M,0
702,612,Eiravati Srivastava,29,F,0
703,613,Anjali Pandya,53,F,0
704,614,Vritti Mangal,50,F,0
705,615,Chandresh Gala,9,M,0
706,616,Darsh Mukherjee,47,M,0
707,617,Dalaja Wason,70,F,0
708,617,Kai Puri,64,M,0
709,618,Gautami Amble,8,F,0
710,620,Yadavi Chahal,63,F,0
711,621,Yamini Wable,5,F,0
712,621,Irya Sura,48,F,0
713,624,Fiyaz Nigam,62,M,0
714,624,Anita Sahni,44,F,0
715,626,Nilima Bahl,72,F,0
716,627,Odika Narain,84,F,0
717,628,Zehaan Kothari,47,M,0
718,630,Dev Korpal,77,M,0
719,632,Jyoti Dani,47,F,0
720,633,Vansha Bhagat,16,F,0
721,635,David Bera,56,M,0
722,635,Nathan Kala,15,M,0
723,636,Anamika Mani,39,F,0
724,637,Alexander Bhatia,59,M,0
725,637,Mohammed Natarajan,26,M,0
726,637,Geetika Choudhury,53,F,0
727,638,Advik Patel,55,M,0
728,639,Tanvi Bhardwaj,49,F,0
729,640,Kabir Hans,40,M,0
730,641,Gautami Prabhakar,42,F,0
731,642,Aishani Baria,3,F,0
732,643,Aadhya Bhatt,50,F,0
733,644,Gaurika Sathe,11,F,0
