AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
260,149,Darsh Iyer,27,M,A1
261,150,Maya Talwar,47,F,A1
262,150,Tanay Mand,60,M,A2
263,151,Ishaan Sibal,52,M,A1
264,152,Maanav Srinivasan,45,M,A1
265,152,Wahab Palan,60,M,A2
266,152,Kiaan Brar,42,M,A3
267,153,Rudra Kalita,20,M,A1
268,153,Viraj Nagi,35,M,A2
269,153,Ethan Savant,36,M,A3
270,154,Isaiah Krishna,30,M,A1
271,154,Ekaraj Peri,19,M,A2
272,154,Tarak Sengupta,42,M,A3
273,155,F Sathe,43,M,A1
274,156,R Mander,46,M,A1
275,156,Falan Dixit,63,M,A2
276,156,Neel Bhasin,37,M,A3
277,157,Zayan Shankar,26,M,A1
278,158,Ansh Malhotra,50,M,A1
279,158,Tanay Vora,28,M,A2
280,159,Shaurya Pillai,46,M,A1
281,159,Mohammed Deol,65,M,A2
282,160,Gauri Khare,58,F,A1
283,161,Lakshit Dasgupta,34,M,A1
284,162,Rehaan Dora,54,M,A1
285,162,Faqid Anne,22,M,A2
286,162,Manthan Loyal,46,M,A3
287,163,Jonathan Pandya,64,M,A1
288,163,Zayan Bhandari,34,M,A2
289,164,Azad Mallick,26,M,A1
290,165,Ekapad Borah,60,M,A1
291,166,U Oza,49,F,A1
292,166,Qarin Doctor,38,M,A2
293,166,Gautam Choudhury,43,M,A3
294,167,Faraj Chokshi,49,M,A1
295,168,O Venkataraman,25,M,A1
296,168,Ekaraj Edwin,29,M,A2
297,168,Darsh Ratti,17,M,A3
298,168,R. Oommen,29,M,A4
299,169,Karan Balakrishnan,49,M,A1
300,169,Gabriel Pandey,46,M,A2
301,169,Mohammed Andra,25,M,A3
302,169,Manbir Issac,57,M,A4
303,170,Amol Sandal,28,M,A1
304,170,Jacob Rastogi,23,M,A2
305,171,Falguni Bera,25,F,A1
306,172,Vivaan Khosla,62,M,A1
307,172,Raghav Shenoy,27,M,A2
308,172,Yuvraj Ramachandran,45,M,A3
309,173,Saksham Ram,50,M,A1
310,173,Christopher De,21,M,A2
311,174,Parth Dey,50,M,A1
312,174,Wriddhish Vohra,51,M,A2
313,175,Om wenkataraman,23,M,A1
314,175,Fitan Ratti,60,M,A2
315,175,Balvan Aurora,35,M,A3
316,176,Parth Sachar,56,M,A1
317,177,Ojas Edwin,40,M,A1
318,178,T Sha,21,M,A1
319,178,V. Purohit,38,M,A2
320,178,Oscar Hora,28,M,A3
321,179,David Kanda,29,M,A1
322,179,Arjun Jha,58,M,A2
323,179,Christopher Saha,19,M,A3
324,179,L Bora,20,M,A4
325,180,Maya Dube,38,F,A1
326,181,Krisna Badal,52,M,A1
327,182,Aarush Doctor,23,M,A1
328,183,Jagat Dass,62,M,A1
329,184,Nachiket Dutta,26,M,A1
330,185,Falan Jhaveri,46,M,A1
331,185,Gaurav Kar,19,M,A2
332,185,Wyatt Pau,46,M,A3
333,185,Oliver Anand,51,M,A4
334,186,Rachit Mukhopadhyay,57,M,A1
335,187,O. Sachdev,30,F,A1
336,188,Yagnesh Yogi,26,M,A1
337,189,Robert Gade,52,M,A1
338,190,Nathan Raju,49,M,A1
339,191,N. Sekhon,48,M,A1
340,192,Ikbal Pal,30,M,A1
341,193,Vasatika Lad,42,F,A1
342,193,Tejas Saxena,59,M,A2
343,193,Bachittar Nazareth,30,M,A3
344,193,Hritik Sheth,52,M,A4
345,194,Qasim Dar,32,M,A1
346,194,Aarav Sarin,61,M,A2
347,194,Irya Taneja,56,F,A3
348,195,Fitan Raval,22,M,A1
349,195,Ranveer Datta,49,M,A2
350,196,Daksh Devi,50,M,A1
351,197,Chandran Parek,23,M,A1
352,198,Raghav Sani,20,M,A1
353,198,Ranveer Subramanian,51,M,A2
354,199,Thomas Suresh,39,M,A1
355,199,Kevin Samra,24,M,A2
356,200,Om Sarma,41,M,A1
357,201,Hitesh Gopal,42,M,A1
358,202,Chandran Parmer,27,M,A1
359,203,Veda Nazareth,45,F,A1
360,204,Isaiah Rattan,37,M,A1
361,204,Aryan Talwar,22,M,A2
362,204,Max Batta,28,M,A3
363,205,Zehaan Buch,38,M,A1
364,206,Kiaan Maharaj,19,M,A1
365,207,Aadi Dani,40,M,A1
366,208,Zashil Puri,48,M,A1
367,208,K Gupta,42,M,A2
368,208,Girish Solanki,54,M,A3
369,209,David Chokshi,50,M,A1
370,209,Aarav Sharma,47,M,A2
371,210,Lavanya Nigam,44,F,A1
372,211,Vihaan Chander,25,M,A1
373,211,Michael warkey,43,M,A2
374,211,Chatresh Bhakta,44,M,A3
375,212,Rushil Dasgupta,33,M,A1
376,212,Gauri Khare,56,F,A2
377,212,Kiaan Parmer,28,M,A3
378,213,Gopal Gara,51,M,A1
379,214,Ikbal Pall,47,M,A1
380,215,Gauri kare,54,F,A1
381,215,Jhalak Mand,44,F,A2
382,215,S. Parmer,56,M,A3
383,216,Rayaan Balan,20,M,A1
384,217,Yash Khalsa,20,M,A1
385,218,Aarnav Nayak,17,M,A1
386,219,Lakshit Wadhwa,25,M,A1
387,219,Charles Mody,19,M,A2
388,220,Advay Krish,16,M,A1
389,221,Harshil Tak,28,M,A1
390,222,Zayan Ratti,56,M,A1
391,222,Hritik Jayaraman,18,M,A2
392,223,Azad Mallick,26,M,A1
393,223,G. Sankaran,18,M,A2
394,224,Zayyan Mohan,36,M,A1
395,225,Jack Hegde,50,M,A1
396,226,L. Bora,20,M,A1
397,227,Zayan Chaudhary,31,M,A1
398,228,Jairaj Chada,29,M,A1
399,228,B. Sami,44,F,A2
400,228,Qadim Varghese,48,M,A3
401,229,Samarth Keer,39,M,A1
402,230,Abeer Ghosh,35,M,A1
403,231,Nathaniel Krish,57,M,A1
404,232,Faqid Pingle,17,M,A1
405,232,Max Rout,35,M,A2
406,233,Nirja Acharya,48,F,A1
407,233,Ekapad Bir,49,M,A2
408,234,K. Hayre,17,M,A1
409,235,Yuvraj Lalla,43,M,A1
410,236,Fitan Rawal,22,M,A1
411,236,Pratyush Saha,19,M,A2
412,236,Rushil Dasgupta,33,M,A3
413,236,Ijaya Lad,61,F,A4
414,237,Tejas Krishna,44,M,A1
415,237,George Boase,51,M,A2
416,237,Shaurya Pillai,46,M,A3
417,238,Yashvi Varkey,55,F,A1
418,239,Vivaan Behl,50,M,A1
419,240,Nakul Tata,59,M,A1
420,241,Azad Mallick,26,M,A1
421,241,Kevin Sachdev,58,M,A2
422,241,Fiyaz Sunder,58,M,A3
423,241,Shaurya Subramanian,57,M,A4
424,242,Akshay Venkataraman,56,M,A1
425,242,M Sandhu,49,M,A2
426,243,Balveer Golla,53,M,A1
427,244,Gauri Khare,56,F,A1
428,244,Guneet Bali,32,M,A2
429,245,Rayaan Kohli,41,M,A1
430,245,George Kalla,42,M,A2
431,246,A. Chowdhury,28,M,A1
432,247,Andrew Pau,38,M,A1
433,248,Q. Dalal,17,M,A1
434,248,Balveer Mand,41,M,A2
435,248,Faraj Sathe,43,M,A3
436,249,Rehaan Mander,48,M,A1
437,249,Gopal Hans,31,M,A2
438,250,Jairaj Lala,63,M,A1
439,250,Girindra Talwar,43,M,A2
440,251,Qasim Pall,26,M,A1
441,251,Hritik Sekhon,61,M,A2
442,251,Manbir Nagi,58,M,A3
443,252,Vihaan Sehgal,18,M,A1
444,253,Bakhshi Narasimhan,21,M,A1
445,254,Chatura Luthra,62,M,A1
446,255,Hredhaan Puri,52,M,A1
447,255,Harish Sehgal,18,M,A2
448,255,Ayus Ghose,24,M,A3
449,255,Wyatt Ben,24,M,A4
450,256,Anirudh Shukla,19,M,A1
451,257,S Pillai,46,M,A1
452,257,Hritik Din,63,M,A2
453,258,C De,21,M,A1
454,258,Zayyan Shukla,43,M,A2
455,259,Faras Varty,58,M,A1
456,260,Y Varkey,55,F,A1
457,260,Ethan Garg,33,M,A2
458,261,Faqid Rana,46,M,A1
459,262,B Mane,58,M,A1
460,263,Rehaan Kalita,58,M,A1
461,263,Azaan Patil,50,M,A2
462,264,Ekbal Ratta,38,M,A1
463,264,Kalpit Hayre,19,M,A2
464,264,Guneet Chaudhuri,64,M,A3
465,265,Anay Majumdar,26,M,A1
466,266,Veer Bhatt,23,M,A1
467,267,Faris Balakrishnan,56,M,A1
468,267,Dakshesh Prabhakar,65,M,A2
469,267,T Mane,19,F,A3
470,268,Kevin Loke,38,M,A1
471,269,Yatin Dave,46,M,A1
472,270,Advaith Parmar,24,M,A1
473,271,Guneet Suresh,46,M,A1
474,271,Xavier Agarwal,38,M,A2
475,272,Kevin Sant,32,M,A1
476,273,Frederick Narayanan,33,M,A1
477,273,Ansh Biswas,40,M,A2
478,273,Ryan Chana,22,M,A3
479,273,K Sane,41,M,A4
480,274,Pushti Mody,39,F,A1
481,274,Alexander Goyal,60,M,A2
482,275,Christopher De,21,M,A1
483,275,Tanish Dhar,33,M,A2
484,276,Arin Banik,38,M,A1
485,276,Pranit Kuruvilla,61,M,A2
486,277,Om Radhakrishnan,61,M,A1
487,277,Ikbal Borra,47,M,A2
488,278,Sai Naik,16,M,A1
489,279,Dev Sen,50,M,A1
490,279,C. Sangha,23,M,A2
491,279,Vamakshi Majumdar,29,F,A3
492,279,Balhaar Bala,51,M,A4
493,280,Dakshesh Bhatt,48,M,A1
494,280,Udarsh Kara,64,M,A2
495,281,Vivaan Chawla,54,M,A1
496,282,Laban Kara,26,M,A1
497,283,Nihal Rajan,18,M,A1
498,283,Fiyaz Sagar,63,M,A2
499,283,Nathaniel Randhawa,31,M,A3
500,284,Simon Banerjee,53,M,A1
501,285,Gagan Agrawal,50,M,A1
502,285,Neel Bumb,17,M,A2
503,286,Falan Chokshi,42,M,A1
504,286,Yatan Virk,40,M,A2
505,286,Max Setty,42,M,A3
506,287,Dev Edwin,64,M,A1
507,288,Ekbal Sur,57,M,A1
508,288,Rishi Amble,31,M,A2
509,288,Karan Sem,55,M,A3
510,288,Azad Lalla,56,M,A4
511,289,Rishi Korpal,57,M,A1
512,289,Aryan Doshi,22,M,A2
513,289,A. Mallick,24,M,A3
514,289,Laks Bora,20,M,A4
515,290,Raksha Dani,56,F,A1
516,290,Matthew Rao,46,M,A2
517,290,Hardik Setty,25,M,A3
518,290,Patrick Chopra,42,M,A4
519,291,Praneel Hegde,19,M,A1
520,292,Jack Bajaj,31,M,A1
521,293,Megha Biswas,43,F,A1
522,294,Nathan Chakraborty,50,M,A1
523,295,Andrew Deep,34,M,A1
524,296,Chandran More,18,M,A1
525,296,T. Vora,29,M,A2
526,296,G Buch,38,M,A3
527,296,S. Issac,31,M,A4
528,297,Hemal Mander,63,F,A1
529,297,Chandresh Vohra,24,M,A2
530,298,J Chada,28,M,A1
531,298,A. Pall,27,M,A2
532,298,Jairaj Mand,58,M,A3
533,299,Guneet Suresh,46,M,A1
534,300,Ranbir Vohra,29,M,A1
535,300,Shaurya Parmer,57,M,A2
536,300,K Badal,52,M,A3
537,301,O. Venkataraman,23,M,A1
538,302,Orinder Patla,16,M,A1
539,303,Ekansh Dubey,62,M,A1
540,303,Om Venkatesh,50,M,A2
541,303,Nandini Dalal,34,F,A3
542,304,Daksh Golla,17,M,A1
543,305,Wyatt Kumer,21,M,A1
544,306,Xavier Choudhury,38,M,A1
545,307,Wridesh Mani,32,M,A1
546,308,J. Chada,29,M,A1
547,308,Ayaan Roy,61,M,A2
548,308,Bahadurjit Tella,42,M,A3
549,309,V. Pau,58,F,A1
550,310,Harrison Prashad,24,M,A1
551,310,wyanjana Kapur,47,F,A2
552,311,V. Parsa,30,M,A1
553,311,Chanakya Agrawal,32,M,A2
554,312,Lohit Murty,37,M,A1
555,312,Qadim Dalal,17,M,A2
556,312,Gopal Rajagopal,38,M,A3
557,313,Lohit Bhargava,27,M,A1
558,313,Abdul Khosla,31,M,A2
559,314,Sathvik Oommen,51,M,A1
560,315,Michael Varkey,42,M,A1
561,316,W Mitra,45,M,A1
562,317,Ishaan Rastogi,18,M,A1
563,317,Nitesh Bhardwaj,20,M,A2
564,318,Anirudh Mangal,46,M,A1
565,318,Quincy Sami,57,M,A2
566,319,Liam Narain,40,M,A1
567,320,S. Pillai,46,M,A1
568,320,Ekaraj Peri,18,M,A2
569,320,Warjas Cheema,28,M,A3
570,321,Vamakshi Choudhry,40,T,A1
571,321,saurya Pillay,46,M,A2
572,321,Nitesh Merchant,29,M,A3
573,321,Madhav Venkataraman,19,M,A4
574,322,wamakshi Majumdar,29,F,A1
575,323,Q. Dalal,17,M,A1
576,324,A Puri,43,M,A1
577,325,Hemang Padmanabhan,64,M,A1
578,325,Sanaya Dixit,57,F,A2
579,325,G. Khare,56,F,A3
580,326,Dev Pall,44,M,A1
581,326,Bakhshi Sastry,52,M,A2
582,327,Jacob Sahni,49,M,A1
583,328,Madhavi Sachdeva,50,F,A1
584,329,Gavin Patil,26,M,A1
585,329,Udarsh Garde,34,M,A2
586,329,Kalpit Majumdar,59,M,A3
587,330,Nihal Tara,49,M,A1
588,331,Upkaar Choksi,50,M,A1
589,332,Yatin Das,26,M,A1
590,332,Yuvraj Lalla,44,M,A2
591,332,Jyoti Bawa,25,F,A3
592,332,Ekaraj Peri,18,M,A4
593,333,Gunit Sures,46,M,A1
594,334,Wriddhish Dhillon,48,M,A1
595,334,Anjali Arora,54,F,A2
596,334,Qasim Bahri,38,M,A3
597,335,Avi Deshmukh,39,M,A1
598,336,Manthan Nath,60,M,A1
599,337,Chandresh Borra,23,M,A1
600,338,R Oommen,29,M,A1
601,339,H. Sehgal,18,M,A1
602,340,Azad Chhabra,32,M,A1
603,341,Chandran Pathak,38,M,A1
604,342,Onkar Magar,19,M,A1
605,343,Jagdish Talwar,47,M,A1
606,344,Faraj Krishnamurthy,43,M,A1
607,345,Om wenkataraman,25,M,A1
608,346,Noah Talwar,21,M,A1
609,346,Hitesh Khatri,25,M,A2
610,347,Jackson Agrawal,44,M,A1
611,348,Owen Naidu,34,M,A1
612,349,Jonathan Naidu,64,M,A1
613,350,Quincy Dhingra,54,M,A1
614,351,Shravya Borra,54,F,A1
615,352,Wridesh Munshi,40,M,A1
616,353,Shivansh Sha,19,M,A1
617,353,A Chhabra,44,M,A2
618,353,Fitan Raval,22,M,A3
619,353,G Solanki,54,M,A4
620,354,Anay Lata,60,M,A1
621,355,Brijesh Sathe,31,M,A1
622,355,Fitan Raval,22,M,A2
623,355,Oliver Thakkar,22,M,A3
624,355,Neel Pandya,45,M,A4
625,356,N Bhasin,38,M,A1
626,357,Faras Sharaf,38,M,A1
627,357,K. Badal,52,M,A2
628,358,Max Vyas,26,M,A1
629,358,Agastya Chowdhury,28,M,A2
630,358,A. Pall,27,M,A3
631,358,Wyatt Seshadri,49,M,A4
632,359,Orinder Modi,19,M,A1
633,360,Bachittar Chander,57,M,A1
634,360,Jackson Krishna,36,M,A2
635,361,Bachittar Hari,58,M,A1
636,362,A. Dugar,23,M,A1
637,362,Ayushman Sule,30,M,A2
638,363,Upadhriti Varma,55,F,A1
639,363,S Modi,27,M,A2
640,363,Aarav Nagarajan,42,M,A3
641,364,Gaurangi Varughese,46,F,A1
642,365,C De,20,M,A1
643,365,Yug Varty,22,M,A2
644,365,Mohammed Kaul,60,M,A3
645,365,G Nagy,54,F,A4
646,366,Upkaar Choksi,50,M,A1
647,366,Ubika Oza,47,F,A2
648,366,Onkar Gera,16,M,A3
649,367,Timothy Sane,44,M,A1
650,368,Guneet Suresh,46,M,A1
651,368,Praneel Khurana,37,M,A2
652,369,Karan Pall,47,M,A1
653,369,Manan Banerjee,54,M,A2
654,370,N. Bhasin,38,M,A1
655,371,Kai Sekhon,31,M,A1
656,372,K. Sane,41,M,A1
657,373,Zayan Ratti,56,M,A1
658,373,U. Oza,47,F,A2
659,373,G Solanki,54,M,A3
660,374,Samarth Sant,39,M,A1
661,375,R Kohli,41,M,A1
662,376,Teerth Bassi,56,M,A1
663,376,Laban Mutti,47,M,A2
664,376,Warjas Varty,31,M,A3
665,377,Thomas Karnik,57,M,A1
666,378,Akshay Borah,38,M,A1
667,378,Liam Dua,28,M,A2
668,379,Isaac Dhaliwal,30,M,A1
669,380,Samaksh Krishna,60,M,A1
670,381,Zayyan Lalla,31,M,A1
671,381,Isaac Krishnan,44,M,A2
672,382,Maanav D’Alia,28,M,A1
673,382,Gauri Khare,57,F,A2
674,383,Maanas Doctor,31,M,A1
675,383,Gopal Hans,33,M,A2
676,384,Jagat Kala,45,M,A1
677,384,C More,18,M,A2
678,385,Anirudh Samra,52,M,A1
679,386,Balveer Sharaf,36,M,A1
680,386,Siddharth Mukherjee,52,M,A2
681,386,Faraj Badami,34,M,A3
682,386,W Dugal,56,M,A4
683,387,Ayush Ghose,24,M,A1
684,387,Balvan Mammen,38,M,A2
685,388,Azad Rao,36,M,A1
686,388,Yahvi Talwar,54,F,A2
687,388,Fiyaz Natarajan,32,M,A3
688,388,Nathaniel Bal,57,M,A4
689,389,Indrajit Srivastava,40,M,A1
690,390,Zashil Borah,47,M,A1
691,390,D. Gola,49,M,A2
692,391,Bakhshi Handa,62,M,A1
693,391,Diya Sachar,23,F,A2
694,391,Xalak Grover,27,F,A3
695,392,Imaran Sanghvi,41,M,A1
696,392,Jatin Mittal,23,M,A2
697,392,Ishaan Vohra,31,M,A3
698,392,A Chowdhury,28,M,A4
699,393,Jackson Sarna,50,M,A1
700,393,M. Varkey,44,M,A2
701,394,Vyanjana Kapur,46,F,A1
702,395,Luke Bhatti,33,M,A1
703,395,S. Joshi,49,M,A2
704,395,Say Josi,49,M,A3
705,396,Arin Tripathi,42,M,A1
706,397,Ishwar Jaggi,36,M,A1
707,398,A Bal,35,M,A1
708,399,Anthony Wali,42,M,A1
